m_id,venue,t1_id,t2_id,wintype,city,man_of_the_match_id,match_winner,season_id
335987,M Chinnaswamy Stadium,2,1,by runs,Bangalore,2,1,1
335988,"Punjab Cricket Association Stadium, Mohali",4,3,by runs,Chandigarh,19,3,1
335989,Feroz Shah Kotla,6,5,by wickets,Delhi,90,6,1
335990,Wankhede Stadium,7,2,by wickets,Mumbai,11,2,1
335991,Eden Gardens,1,8,by wickets,Kolkata,4,1,1
335992,Sawai Mansingh Stadium,5,4,by wickets,Jaipur,32,5,1
335993,"Rajiv Gandhi International Stadium, Uppal",8,6,by wickets,Hyderabad,41,6,1
335994,"MA Chidambaram Stadium, Chepauk",3,7,by runs,Chennai,18,3,1
335995,"Rajiv Gandhi International Stadium, Uppal",8,5,by wickets,Hyderabad,31,5,1
335996,"Punjab Cricket Association Stadium, Mohali",4,7,by runs,Chandigarh,26,4,1
335997,M Chinnaswamy Stadium,2,5,by wickets,Bangalore,32,5,1
335998,"MA Chidambaram Stadium, Chepauk",3,1,by wickets,Chennai,22,3,1
335999,Dr DY Patil Sports Academy,7,8,by wickets,Mumbai,53,8,1
336000,"Punjab Cricket Association Stadium, Mohali",4,6,by wickets,Chandigarh,28,4,1
336001,M Chinnaswamy Stadium,2,3,by runs,Bangalore,20,3,1
336002,Eden Gardens,1,7,by wickets,Kolkata,44,7,1
336003,Feroz Shah Kotla,6,2,by runs,Delhi,118,6,1
336004,"Rajiv Gandhi International Stadium, Uppal",8,4,by wickets,Hyderabad,100,4,1
336005,Sawai Mansingh Stadium,5,1,by runs,Jaipur,101,5,1
336006,"MA Chidambaram Stadium, Chepauk",3,6,by wickets,Chennai,41,6,1
336007,"Rajiv Gandhi International Stadium, Uppal",8,2,by wickets,Hyderabad,81,2,1
336008,"Punjab Cricket Association Stadium, Mohali",4,1,by runs,Chandigarh,29,4,1
336009,Dr DY Patil Sports Academy,7,6,by runs,Mumbai,49,7,1
336010,Sawai Mansingh Stadium,5,3,by wickets,Jaipur,102,5,1
336011,M Chinnaswamy Stadium,2,4,by wickets,Bangalore,77,4,1
336012,"MA Chidambaram Stadium, Chepauk",3,8,by wickets,Chennai,53,8,1
336013,Dr DY Patil Sports Academy,7,5,by wickets,Mumbai,73,7,1
336014,Feroz Shah Kotla,6,3,by wickets,Delhi,20,3,1
336015,Eden Gardens,1,2,by runs,Kolkata,1,1,1
336016,Sawai Mansingh Stadium,5,8,by wickets,Jaipur,31,5,1
336017,M Chinnaswamy Stadium,2,7,by wickets,Bangalore,149,7,1
336018,"MA Chidambaram Stadium, Chepauk",3,4,by runs,Chennai,151,3,1
336019,"Rajiv Gandhi International Stadium, Uppal",8,1,by runs,Hyderabad,1,1,1
336020,Sawai Mansingh Stadium,5,6,by wickets,Jaipur,32,5,1
336021,"Punjab Cricket Association Stadium, Mohali",4,2,by wickets,Chandigarh,100,4,1
336022,Eden Gardens,1,6,by runs,Kolkata,144,1,1
336023,Wankhede Stadium,7,3,by wickets,Mumbai,44,7,1
336024,"Punjab Cricket Association Stadium, Mohali",4,5,by runs,Chandigarh,100,4,1
336025,Feroz Shah Kotla,6,8,by runs,Delhi,136,6,1
336026,Wankhede Stadium,7,1,by wickets,Mumbai,49,7,1
336027,Feroz Shah Kotla,6,4,by runs,Delhi,64,4,1
336028,Sawai Mansingh Stadium,5,2,by runs,Jaipur,74,5,1
336029,"Rajiv Gandhi International Stadium, Uppal",8,7,by runs,Hyderabad,71,7,1
336030,Eden Gardens,1,3,by runs,Kolkata,122,3,1
336031,M Chinnaswamy Stadium,2,6,by wickets,Bangalore,132,6,1
336032,Eden Gardens,1,5,by wickets,Kolkata,31,5,1
336033,Wankhede Stadium,7,4,by runs,Mumbai,100,4,1
336034,"MA Chidambaram Stadium, Chepauk",3,2,by runs,Chennai,124,2,1
336036,"Punjab Cricket Association Stadium, Mohali",4,8,by wickets,Chandigarh,100,4,1
336037,Feroz Shah Kotla,6,7,by wickets,Delhi,88,6,1
336038,"MA Chidambaram Stadium, Chepauk",3,5,by runs,Chennai,109,5,1
336039,M Chinnaswamy Stadium,2,8,by runs,Bangalore,14,2,1
336040,Eden Gardens,1,4,by wickets,Kolkata,105,1,1
336041,Sawai Mansingh Stadium,5,7,by wickets,Jaipur,102,5,1
336042,"Rajiv Gandhi International Stadium, Uppal",8,3,by wickets,Hyderabad,21,3,1
336043,Wankhede Stadium,6,5,by runs,Mumbai,32,5,1
336044,Wankhede Stadium,3,4,by wickets,Mumbai,122,3,1
336045,Dr DY Patil Sports Academy,3,5,by wickets,Mumbai,31,5,1
392186,Newlands,3,7,by runs,Cape Town,133,7,2
392187,Newlands,2,5,by runs,Cape Town,6,2,2
392188,Newlands,6,4,by wickets,Cape Town,175,6,2
392189,Newlands,8,1,by wickets,Cape Town,61,8,2
392190,St George's Park,2,3,by runs,Port Elizabeth,121,3,2
392191,Kingsmead,4,1,by runs,Durban,162,1,2
392193,Newlands,2,8,by runs,Cape Town,53,8,2
392194,Kingsmead,3,6,by runs,Durban,110,6,2
392195,Newlands,1,5,Tie,Cape Town,31,5,2
392196,Kingsmead,2,4,by wickets,Durban,161,4,2
392197,Kingsmead,8,7,by runs,Durban,131,8,2
392199,St George's Park,2,6,by wickets,Port Elizabeth,135,6,2
392200,Newlands,4,5,by runs,Cape Town,26,4,2
392201,Kingsmead,3,8,by wickets,Durban,97,8,2
392202,St George's Park,1,7,by runs,Port Elizabeth,133,7,2
392203,SuperSport Park,6,5,by wickets,Centurion,31,5,2
392204,Kingsmead,2,1,by wickets,Durban,11,2,2
392205,Kingsmead,4,7,by runs,Durban,26,4,2
392206,SuperSport Park,8,6,by wickets,Centurion,223,6,2
392207,SuperSport Park,3,5,by runs,Centurion,21,3,2
392208,Buffalo Park,1,7,by runs,East London,154,7,2
392209,Kingsmead,2,4,by runs,Durban,27,2,2
392210,St George's Park,8,5,by wickets,Port Elizabeth,31,5,2
392211,New Wanderers Stadium,3,6,by runs,Johannesburg,186,3,2
392212,St George's Park,4,1,by wickets,Port Elizabeth,64,4,2
392213,New Wanderers Stadium,2,7,by wickets,Johannesburg,9,2,2
392214,Buffalo Park,3,8,by runs,East London,20,3,2
